,dewpoint,x,y
0,5.2,991286.4845362244,6020753.060576632
1,4.8,994696.5344976947,5854288.154020127
2,1.5,841652.3834847771,5859503.006876085
3,5.8,770822.2405218146,5832849.235317758
4,3.9,959775.0536383908,5923655.902519462
5,6.9,1064971.638479562,6021381.618647161
6,1.5,1049957.0882003468,5878665.339548966
7,0.3,955179.6737389537,5882027.480621908
8,-2.6,1077464.8022923095,5908286.087492258
9,5.7,1057819.3611960942,5944780.443905249
10,0.7,838087.3767921226,5938452.198846835
11,7.0,844197.5923222746,6030841.528903422
12,1.9,1085777.5852672972,5881446.663961202
13,5.1,830888.3453225215,5940563.062094295
14,5.3,916523.3126440446,6033507.427470993
15,4.7,999448.3182816963,5834366.466048723
16,1.3,911963.3323426798,5839464.184029224
17,5.8,1031585.6986762607,6025521.754972859
18,-0.8,1076304.5192397714,5854769.890332286
19,2.9,706029.6214615161,5864866.565840905
20,0.3,870876.7554442628,5847971.461602274
21,4.5,822006.0518326354,5880837.844676935
22,8.9,763318.4162864216,5843625.118819264
23,7.2,899401.4844041128,6005035.178174894
24,-3.4,1142939.4758726985,5884872.951734083
25,2.0,732071.0352207497,5916097.7280528145
26,4.3,957699.5017325502,5831856.913202285
27,6.9,942279.6371873567,5972860.164752853
28,0.4,785284.5348072044,5963603.311968381
29,2.2,776879.2453353674,5950103.400802917
30,5.4,1060939.6465230295,5920945.161948571
31,3.0,794782.2024421956,5857567.908398584
32,1.9,978676.1012996715,5812526.810654102
33,1.3,790178.2509419675,5843320.719497106
34,-4.5,798240.2311041978,5759363.90632021
35,4.7,789325.6549619818,5971645.318624664
36,-4.6,1021951.2193870842,5916402.5465509035
37,6.7,785816.6419731962,5949848.048072741
38,0.1,1095772.517067662,5911596.992604918
39,6.1,818149.3880741025,5999671.586707385
40,0.5,985563.4381950514,5894302.354322956
41,6.7,1013952.3573761337,5986804.640875225
42,-5.3,900878.3600884671,5848966.084775124
43,7.6,891086.2524003277,5971409.641427405
44,4.2,974775.9116202383,5963807.851037175
45,2.7,1021395.2898500627,5929636.511549158
46,2.3,936247.0113422879,5913005.389365205
47,5.4,782213.8979731627,5809716.19569987
48,0.4,835858.7605864413,5798335.090524447
49,6.2,772682.8344909335,6011527.76681744
50,3.0,892813.8195779485,5924051.224647884
51,6.4,791894.3522120365,5904839.744708012
52,3.9,852433.6761681057,5876865.023106546
53,5.3,681526.6430650455,5820265.846781348
54,4.3,948818.989354517,5941433.9257015465
55,8.8,911728.2255781244,5917540.379938606
56,3.3,1009322.6910735322,5947720.7262376165
57,-7.6,866704.8348878034,5777726.784847079
58,6.4,825446.0467371292,5971355.104111863
59,-2.4,927653.8145699919,5872440.901600047
60,4.8,1020101.5347280634,5821305.486303356
61,1.7,872387.3609343275,5811702.573297585
62,3.7,956831.543662835,5892054.777223309
63,6.6,887627.8897798529,6001544.924636177
64,-2.1,959076.5238336631,5885532.48696449
65,5.4,1032978.9734230291,6040846.854153421
66,6.9,942928.6298186814,6056639.136674624
67,3.8,995376.2513084785,6002813.108360686
68,3.6,1025848.403440266,5905431.7038580375
69,5.3,876099.8659522833,5888736.9739780305
70,-11.7,888896.9319748963,5868529.336673357
71,4.7,846639.4966723158,5961494.549008775
72,3.1,735535.8543716904,5938831.548724377
73,3.2,756109.47738214,5955623.168681999
74,-1.4,678992.9001350998,5848682.495097888
75,6.5,986144.4146175015,5971372.7918524
76,5.9,869009.1483472241,5932224.897664806
77,-1.9,781214.4715848208,5868309.857549094
78,5.4,911513.9355583474,6040113.043534883
79,-7.1,809142.7507130002,5796246.077479216
