,pressure,x,y
0,931.4,991292.050510764,6020759.484288261
1,923.5,994693.7515104249,5854295.4259253815
2,847.1,841621.9932637906,5859588.381541529
3,950.9,770828.6970522805,5832850.041342771
4,943.1,959784.8497535806,5923660.300318671
5,947.1,1064976.8704956293,6021375.359196024
6,881.0,1049963.3220918314,5878669.39071785
7,834.4,955182.7906846959,5882036.558720263
8,789.9,1077462.909860966,5908296.493600938
9,935.8,1057823.9252952167,5944789.097543927
10,957.9,844194.1414180599,6030853.896616143
11,930.9,830895.4697699323,5940563.388488653
12,956.4,916529.5465355292,6033511.5513115525
13,956.9,999448.3182816963,5834366.466048723
14,934.5,1031575.1233246352,6025526.863814802
15,916.6,706031.1799343872,5864868.830933848
16,824.4,870873.9724569931,5847985.026091928
17,901.8,822006.0518326354,5880837.844676935
18,952.1,763318.4162864216,5843625.118819264
19,929.6,897331.2758338304,5899855.027599308
20,949.8,899411.3918387935,6005042.083474389
21,780.0,1142939.141914226,5884828.843942789
22,859.4,732078.0483486697,5916098.2162746955
23,940.8,957699.5017325502,5831856.913202285
24,943.7,942279.6371873567,5972860.164752853
25,818.7,785288.5423088729,5963607.402702646
26,867.1,776879.2453353674,5950103.400802917
27,928.6,1060931.6315196927,5920940.277023213
28,879.0,794782.8703591403,5857576.799597739
29,810.1,978682.0012326837,5812532.600690859
30,732.0,798236.7801999834,5759395.880836014
31,731.6,1021917.6009008647,5916367.230676104
32,944.8,785820.6494748648,5949843.963796845
33,818.0,1095779.8641540543,5911599.107144788
34,944.0,818150.0559910472,5999671.586707385
35,858.7,985564.6627094501,5894309.497105883
36,921.9,1013952.9139735876,5986812.844212441
37,694.6,900878.3600884671,5848966.084775124
38,934.5,891085.584483383,5971410.624084876
39,891.0,974775.3550227844,5963817.014499973
40,884.6,1021394.9558915902,5929635.696584313
41,878.1,936254.1357896985,5913009.456443289
42,939.3,782213.8979731627,5809716.19569987
43,795.6,835856.9794745885,5798349.381835998
44,926.3,772690.1815773258,6011527.76681744
45,920.4,791897.4691577788,5904840.23230204
46,947.5,682137.1191525558,5820103.424224117
47,940.6,911731.676482339,5917535.008613509
48,933.2,1009329.4815624703,5947721.216231233
49,673.8,866704.8348878034,5777726.784847079
50,945.0,825450.0542387977,5971356.414313633
51,782.5,927505.9822862182,5872393.1318270685
52,952.1,1020104.874312787,5821319.814801404
53,817.2,872391.0344775236,5811703.859852091
54,885.6,956831.543662835,5892054.777223309
55,950.5,887631.8972815216,6001551.66281012
56,750.1,959076.5238336631,5885532.48696449
57,942.1,1032981.199812845,6040851.311686267
58,945.3,942927.7392627553,6056639.6328630615
59,866.5,995379.2569347299,6002820.011890196
60,912.6,1025850.1845521189,5905436.580129305
61,928.3,876105.9885242768,5888737.298443778
62,636.1,888922.9807357421,5868515.740462112
63,939.3,846640.7211867146,5961495.039777858
64,876.6,735854.8960323039,5939437.400609133
65,879.5,756116.9357880233,5955623.659120245
66,811.8,678988.0020775049,5848686.0479872245
67,909.8,869007.2559158806,5932226.201995351
68,781.2,781212.6904729679,5868313.903943516
69,954.5,911506.2545134827,6040129.551524737
