short,topo
TAE,201.19351196289062
COM,5179.0108642578125
ABO,3009.2750244140625
AIG,1625.640380859375
ALT,2489.2171020507812
ARH,333.0824279785156
AND,3962.9332275390625
ANT,3496.5072021484375
ARO,790.572998046875
RAG,1977.4059448242188
BAN,-1800.1482543945312
BAS,-25.31256103515625
LAT,3579.3668212890625
BER,221.2955322265625
BEZ,389.0760192871094
BIA,3198.5845642089844
BIN,1979.3443603515625
BIZ,66.56008911132812
BIV,3216.21435546875
BIE,526.5697021484375
BLA,5515.662841796875
BOL,2658.7671508789062
BOU,1118.9771728515625
BUS,490.27667236328125
BUF,1639.430908203125
FRE,-1322.165771484375
CEV,5728.5216064453125
CHZ,-39.164642333984375
CHA,-2401.7090454101562
CHM,-2068.7236938476562
CHU,4363.020812988281
CHD,1868.699462890625
CIM,-2870.7364044189453
CDM,1032.4881591796875
GSB,-1006.360595703125
COY,1707.649658203125
CMA,-2092.46240234375
CRM,838.4003601074219
DAV,2512.0567626953125
DEM,868.822509765625
DIS,2828.122802734375
EBK,1722.761474609375
EGH,-3274.0003662109375
EGO,145.62774658203125
EIN,427.99169921875
ELM,4925.33447265625
ENG,4165.7760009765625
EVI,3646.4757690429688
EVO,2295.953857421875
FAH,-122.5655517578125
FLU,1317.2361450195312
GRA,98.044189453125
FRU,3331.0409545898438
GVE,39.3995361328125
GES,536.4056396484375
GIH,3235.0692138671875
GLA,2078.0507202148438
GOR,-395.575439453125
GRE,893.1040954589844
GRH,-187.255859375
GRO,3324.8118286132812
GRC,1516.0008544921875
GOS,4107.838623046875
GOE,482.3912658691406
GUE,-1133.15673828125
GUT,15.403533935546875
HLL,179.771240234375
HOE,-1345.2822265625
ILZ,2059.48095703125
INT,2971.649169921875
JUN,-3914.3521728515625
KOP,105.62060546875
BRL,200.554931640625
CDF,-47.588623046875
DOL,-2234.6553344726562
LAC,1008.3325805664062
LAG,464.71966552734375
MLS,-3285.0469970703125
LEI,560.3460388183594
ATT,-4451.4912109375
CHB,775.9730224609375
DIA,-4234.3475341796875
MAR,1302.8446350097656
OTL,858.4069213867188
LUG,559.3334655761719
LUZ,380.8231201171875
LAE,-1546.3524475097656
MAG,1795.2888641357422
MAS,871.3248291015625
MAH,380.5389404296875
MTR,-6251.059478759766
MER,2694.7196655273438
MOB,4334.3685302734375
MVE,-899.66845703125
GEN,-3158.1412353515625
MRP,946.419921875
MOA,1001.4570922851562
MTE,3618.57958984375
MOE,306.5676574707031
MUB,249.45297241210938
NAS,-1711.40185546875
NAP,-1491.8816528320312
NEU,483.40802001953125
CGI,73.87188720703125
OBR,151.14007568359375
ORO,-171.38604736328125
BEH,1588.48828125
PAY,236.37570190429688
PIL,-5169.864196777344
PIO,4682.2890625
COV,-2747.7623291015625
PMA,-1855.21875
PLF,-241.98699951171875
ROB,4199.801025390625
PUY,473.50091552734375
ROE,1017.98046875
RUE,-116.87741088867188
SBE,1755.2568359375
HAI,-1030.1959838867188
SAM,4072.190185546875
SAG,1080.3161010742188
SHA,-36.263427734375
SRS,2475.2997436523438
SPF,1062.8956298828125
SCU,4205.1834716796875
SIA,2976.578857421875
SIM,2901.2557373046875
SIO,1886.0159301757812
STC,-1599.111328125
STG,-230.17236328125
SMM,3098.2081298828125
SBO,487.1481628417969
SAE,-4694.2388916015625
THU,189.21319580078125
TIT,-4793.580810546875
UEB,-2092.2099609375
ULR,3978.576171875
VAD,2149.77880859375
VAB,762.6119384765625
VLS,3708.3851318359375
VEV,666.6427307128906
VIO,4662.91650390625
VIT,-438.2525634765625
VIS,3405.39306640625
WFJ,-3740.787109375
WYN,158.8551025390625
WAE,311.4287109375
PSI,245.9266357421875
ZER,4645.18359375
REH,29.64617919921875
SMA,-556.1000671386719
KLO,187.00048828125
